City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Puerto Ayora,EC,73.54,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
7,Avarua,CK,80.65,few clouds,-21.2078,-159.775,Paradise Inn
9,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
10,Airai,TL,72.09,scattered clouds,-8.9266,125.4092,Juvinal Martin
13,Atuona,PF,79.88,light rain,-9.8,-139.0333,Villa Enata
14,Avera,US,78.85,broken clouds,33.194,-82.5271,
17,Pokhara,NP,77.94,broken clouds,28.2333,83.9833,Butterfly Lodge
21,Muli,MV,83.43,overcast clouds,2.9167,73.5667,Medhufushi Island Resort
23,San Matias,BO,77.31,few clouds,-16.3667,-58.4,"HOTEL ""SAN JOSE"""
26,Amapa,BR,71.92,overcast clouds,1.0,-52.0,
28,Butaritari,KI,83.19,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
36,Liberty,US,77.04,broken clouds,31.8335,-81.5004,Sasser Trailer Park
38,Eyl,SO,79.0,overcast clouds,7.9803,49.8164,Amiin Hotel
43,Hilo,US,84.27,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
44,Arraial Do Cabo,BR,73.65,clear sky,-22.9661,-42.0278,Pousada Porto Praia
47,Souillac,MU,73.78,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
50,Xuddur,SO,70.27,few clouds,4.1213,43.8894,Banjanay Hotel
51,Lompoc,US,82.13,overcast clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
54,Luganville,VU,79.47,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
60,Samarai,PG,80.02,light rain,-10.6167,150.6667,Nuli Sapi
61,Salinopolis,BR,78.58,moderate rain,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
64,Najran,SA,74.05,overcast clouds,17.4924,44.1277,محمد هادي ال فطيح
71,Saint-Philippe,RE,70.48,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
73,Kapaa,US,76.98,moderate rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
75,Paea,PF,78.51,light rain,-17.6833,-149.5833,Marama Lodge
76,Saquena,PE,75.94,overcast clouds,-4.6667,-73.5167,
78,Kudahuvadhoo,MV,83.57,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
80,Bengkulu,ID,80.98,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
84,Petropavlovsk-Kamchatskiy,RU,70.39,scattered clouds,53.0452,158.6483,The Hotel Petropavlovsky
89,Kralendijk,BQ,80.58,broken clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
90,Bambous Virieux,MU,73.65,broken clouds,-20.3428,57.7575,Casa Tia Villa
93,Vaini,TO,77.16,scattered clouds,-21.2,-175.2,Keleti Beach Resort
98,High Level,CA,75.31,few clouds,58.5169,-117.136,Days Inn by Wyndham High Level
104,Rikitea,PF,72.84,scattered clouds,-23.1203,-134.9692,Pension Maro'i
105,Seoul,KR,70.21,few clouds,37.5683,126.9778,Lotte Hotel Seoul
108,Tyret Pervaya,RU,71.51,clear sky,53.6703,102.3106,
109,Baherden,TM,80.92,clear sky,38.4362,57.4316,
112,Ilyich,KZ,81.68,clear sky,40.8464,68.5067,Aul Madeniyet
113,Mahebourg,MU,73.69,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
114,Khandwa,IN,84.11,overcast clouds,21.8333,76.3333,Hotel kesar residency
116,Nouakchott,MR,80.53,clear sky,18.0858,-15.9785,HOTEL IMAN فندق إيمان
118,Oussouye,SN,77.18,broken clouds,12.485,-16.5469,Auberge du Routard
119,Sao Joao Da Barra,BR,72.68,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
121,Ginda,IN,72.09,clear sky,30.6945,78.4932,Bal uma sankar hotel and restaurant
124,Umm Kaddadah,SD,81.0,broken clouds,13.6017,26.6876,
125,Vila Velha,BR,71.94,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
129,Omboue,GA,75.36,clear sky,-1.5746,9.2618,Hotel Olako
133,Maragogi,BR,75.33,few clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
134,Tual,ID,81.86,scattered clouds,-5.6667,132.75,Grand Vilia Hotel
135,Katsuura,JP,71.71,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
137,Salalah,OM,80.69,broken clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
139,Kirakira,SB,83.7,overcast clouds,-10.4544,161.9205,SanBiz Lodge
141,Inirida,CO,74.3,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
143,Grand Gaube,MU,73.8,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
146,Lazaro Cardenas,MX,82.69,few clouds,17.9583,-102.2,quinta antigua
148,Sao Filipe,CV,73.04,few clouds,14.8961,-24.4956,Hotel Xaguate
150,Sayla,IN,83.08,clear sky,22.55,71.4667,Bell Guest House
151,Chernyshevskiy,RU,71.83,overcast clouds,63.0128,112.4714,Chernyseyskiy
154,Praia,CV,72.14,few clouds,14.9215,-23.5087,LT Aparthotel
156,Shimoda,JP,71.96,heavy intensity rain,34.6667,138.95,Shimoda Tokyu Hotel
157,Cayenne,GF,78.1,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
160,Myrtle Beach,US,76.05,overcast clouds,33.6891,-78.8867,Bay View Resort Myrtle Beach
163,Lumberton,US,75.34,light rain,34.6182,-79.0086,"Country Inn & Suites by Radisson, Lumberton, NC"
164,Russell,US,78.08,few clouds,32.3502,-85.1999,Macs
166,Pizarro,CO,78.31,moderate rain,4.9533,-77.366,Hotel Limonar
172,Karatsu,JP,71.17,light rain,33.4425,129.9697,Niji no Matsubara Hotel
173,Puerto Leguizamo,CO,72.61,broken clouds,-0.1934,-74.7819,la casona de juancho
175,Katherine,AU,80.92,broken clouds,-14.4667,132.2667,Pine Tree Motel
176,Tamiahua,MX,79.56,overcast clouds,21.2667,-97.45,Mission Of The Sun Hotel
180,College,US,71.58,broken clouds,64.8569,-147.8028,Pike's Waterfront Lodge
183,Isangel,VU,80.71,broken clouds,-19.55,169.2667,Tanna Lodge
185,Pemba,MZ,74.1,few clouds,-12.974,40.5178,Guesthouse Samotina
187,Faanui,PF,81.27,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
195,Vao,NC,71.06,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
196,Thessalon,CA,70.29,overcast clouds,46.2501,-83.5666,Carolyn Beach Inn & Restaurant
198,Sungaipenuh,ID,71.56,overcast clouds,-2.0833,101.3833,Hotel Jaya Wisata 2
200,Belaya Gora,RU,74.14,broken clouds,68.5333,146.4167,
204,Bara,NG,78.24,overcast clouds,10.3744,10.7288,
205,Delmas,HT,83.12,few clouds,18.5447,-72.3028,Idéal Villa Hôtel
208,Corn Island,NI,82.4,scattered clouds,12.1694,-83.0418,Big Fish Guest House
211,Quatre Cocos,MU,73.51,light rain,-20.2078,57.7625,Emeraude Beach Attitude Hotel
229,Chake Chake,TZ,74.34,clear sky,-5.2459,39.7666,Hotel Archipelago
235,Yumen,CN,81.23,clear sky,40.2833,97.2,
239,Samana,DO,77.09,overcast clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
240,Galesong,ID,84.22,broken clouds,-5.3166,119.3661,Sapriadi Appy
242,Alta Floresta,BR,70.84,few clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
245,Westport,US,70.11,light rain,41.1415,-73.3579,The Westport Inn
249,Muroto,JP,73.44,overcast clouds,33.2833,134.15,Oota Ryokan
250,Ocean City,US,71.62,overcast clouds,39.2776,-74.5746,Biscayne Suites
253,Kaura Namoda,NG,84.87,broken clouds,12.5898,6.5779,Moonlight Hotel
266,San Cristobal,VE,71.78,broken clouds,7.7669,-72.225,Posada Villaven C.A.
267,Puerto Carreno,CO,79.07,overcast clouds,6.189,-67.4859,Casa Hotel Victoria
