City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Lengshuitan,CN,26.4111,111.5956,68.63,82,100,2.15,overcast clouds
1,Yellowknife,CA,62.456,-114.3525,66.72,52,75,9.22,broken clouds
2,Bredasdorp,ZA,-34.5322,20.0403,50.29,93,66,2.44,broken clouds
3,Puerto Ayora,EC,-0.7393,-90.3518,73.54,89,72,5.99,broken clouds
4,Leningradskiy,RU,69.3833,178.4167,32.11,82,22,8.12,few clouds
5,Thompson,CA,55.7435,-97.8558,57.36,54,90,3.44,overcast clouds
6,North Bend,US,43.4065,-124.2243,60.85,86,90,16.11,mist
7,Avarua,CK,-21.2078,-159.775,80.65,74,23,12.66,few clouds
8,Ribeira Grande,PT,38.5167,-28.7,62.6,70,98,12.15,overcast clouds
9,Bathsheba,BB,13.2167,-59.5167,81.21,65,40,18.88,scattered clouds
10,Airai,TL,-8.9266,125.4092,72.09,54,47,3.91,scattered clouds
11,Hobart,AU,-42.8794,147.3294,50.05,53,20,3.0,few clouds
12,Sitka,US,57.0531,-135.33,49.89,81,90,5.75,light rain
13,Atuona,PF,-9.8,-139.0333,79.88,79,25,18.03,light rain
14,Avera,US,33.194,-82.5271,78.85,80,63,7.27,broken clouds
15,Nemuro,JP,43.3236,145.575,59.43,94,100,26.84,light rain
16,Kahului,US,20.8947,-156.47,85.96,66,40,24.16,scattered clouds
17,Pokhara,NP,28.2333,83.9833,77.94,66,81,1.12,broken clouds
18,Berlevag,NO,70.8578,29.0864,50.49,70,11,11.86,few clouds
19,Shawinigan,CA,46.5668,-72.7491,63.09,100,100,4.61,overcast clouds
20,Mar Del Plata,AR,-38.0023,-57.5575,59.0,39,0,17.0,clear sky
21,Muli,MV,2.9167,73.5667,83.43,69,100,17.31,overcast clouds
22,Nikolskoye,RU,59.7035,30.7861,52.39,79,20,4.29,few clouds
23,San Matias,BO,-16.3667,-58.4,77.31,51,24,3.04,few clouds
24,Punta Arenas,CL,-53.15,-70.9167,35.71,93,90,8.48,light rain
25,Broome,US,42.2506,-75.833,67.62,95,90,4.0,overcast clouds
26,Amapa,BR,1.0,-52.0,71.92,99,99,2.04,overcast clouds
27,Acari,PE,-15.4311,-74.6158,66.33,75,64,1.36,broken clouds
28,Butaritari,KI,3.0707,172.7902,83.19,74,91,7.9,overcast clouds
29,Saskylakh,RU,71.9167,114.0833,34.63,97,100,8.03,light rain
30,Tasiilaq,GL,65.6145,-37.6368,42.96,76,100,6.42,overcast clouds
31,Pontian Kecil,MY,1.4801,103.3899,87.93,74,100,6.71,overcast clouds
32,Kapit,MY,2.0167,112.9333,89.38,66,44,1.52,scattered clouds
33,Dikson,RU,73.5069,80.5464,31.08,95,99,14.2,overcast clouds
34,Qaanaaq,GL,77.484,-69.3632,23.47,84,20,5.93,few clouds
35,Busselton,AU,-33.65,115.3333,63.86,71,75,11.52,broken clouds
36,Liberty,US,31.8335,-81.5004,77.04,47,75,0.0,broken clouds
37,Tessalit,ML,20.1986,1.0114,92.77,9,41,10.13,scattered clouds
38,Eyl,SO,7.9803,49.8164,79.0,78,100,13.85,overcast clouds
39,Chuy,UY,-33.6971,-53.4616,51.69,74,20,8.28,few clouds
40,Ushuaia,AR,-54.8,-68.3,28.06,80,0,10.36,clear sky
41,Tuatapere,NZ,-46.1333,167.6833,55.45,73,68,8.3,broken clouds
42,Albany,US,42.6001,-73.9662,68.54,88,100,5.06,light rain
43,Hilo,US,19.7297,-155.09,84.27,71,1,10.36,clear sky
44,Arraial Do Cabo,BR,-22.9661,-42.0278,73.65,82,0,0.74,clear sky
45,Iskateley,RU,67.6803,53.1512,46.2,53,75,8.46,broken clouds
46,Marakkanam,IN,12.2,79.95,85.55,69,100,7.47,overcast clouds
47,Souillac,MU,-20.5167,57.5167,73.78,78,75,15.68,broken clouds
48,Mataura,NZ,-46.1927,168.8643,53.94,73,70,3.8,broken clouds
49,Ust-Omchug,RU,61.15,149.6333,43.18,88,100,0.89,overcast clouds
50,Xuddur,SO,4.1213,43.8894,70.27,84,15,14.12,few clouds
51,Lompoc,US,34.6391,-120.4579,82.13,88,90,8.48,overcast clouds
52,Cape Town,ZA,-33.9258,18.4232,53.11,93,0,3.15,clear sky
53,Cherskiy,RU,68.75,161.3,67.95,25,98,2.82,overcast clouds
54,Luganville,VU,-15.5333,167.1667,79.47,74,89,9.22,overcast clouds
55,Nanortalik,GL,60.1432,-45.2371,35.19,86,51,11.16,broken clouds
56,Puerto Escondido,MX,15.85,-97.0667,85.03,70,75,0.0,broken clouds
57,Hermanus,ZA,-34.4187,19.2345,53.91,72,97,7.2,overcast clouds
58,Saldanha,ZA,-33.0117,17.9442,57.16,59,83,6.26,broken clouds
59,Palmer,US,42.1584,-72.3287,69.62,81,90,4.0,overcast clouds
60,Samarai,PG,-10.6167,150.6667,80.02,85,99,10.2,light rain
61,Salinopolis,BR,-0.6136,-47.3561,78.58,87,100,10.98,moderate rain
62,Jaffrey,US,42.814,-72.0231,68.0,89,90,9.22,overcast clouds
63,Saint George,US,37.1041,-113.5841,104.47,11,1,1.99,clear sky
64,Najran,SA,17.4924,44.1277,74.05,18,98,2.37,overcast clouds
65,Vilhena,BR,-12.7406,-60.1458,69.19,58,2,3.62,clear sky
66,Xichang,CN,27.8964,102.2634,57.02,76,100,0.36,overcast clouds
67,Srednekolymsk,RU,67.45,153.6833,69.33,28,100,14.43,overcast clouds
68,Port Hardy,CA,50.6996,-127.4199,55.58,71,75,6.91,broken clouds
69,Pisco,PE,-13.7,-76.2167,62.65,82,20,8.05,few clouds
70,Victoria,HK,22.2855,114.1577,87.96,91,99,1.01,light rain
71,Saint-Philippe,RE,-21.3585,55.7679,70.48,81,44,13.6,light rain
72,Bethel,US,41.3712,-73.414,68.85,91,100,3.67,moderate rain
73,Kapaa,US,22.0752,-159.319,76.98,86,90,8.01,moderate rain
74,Cabo San Lucas,MX,22.8909,-109.9124,91.81,34,1,11.5,clear sky
75,Paea,PF,-17.6833,-149.5833,78.51,83,90,13.98,light rain
76,Saquena,PE,-4.6667,-73.5167,75.94,90,90,1.74,overcast clouds
77,Haines Junction,CA,60.7522,-137.5108,55.35,28,4,13.8,clear sky
78,Kudahuvadhoo,MV,2.6708,72.8944,83.57,68,100,17.34,overcast clouds
79,Cidreira,BR,-30.1811,-50.2056,60.85,89,2,13.47,clear sky
80,Bengkulu,ID,-3.8004,102.2655,80.98,81,91,1.57,overcast clouds
81,Kerman,IR,30.2832,57.0788,66.06,19,0,5.57,clear sky
82,Port Augusta,AU,-32.5,137.7667,61.7,61,10,10.38,clear sky
83,Henties Bay,NA,-22.116,14.2845,69.85,25,0,14.05,clear sky
84,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,70.39,30,29,8.84,scattered clouds
85,Maniitsoq,GL,65.4167,-52.9,34.86,76,31,7.65,scattered clouds
86,Upernavik,GL,72.7868,-56.1549,31.87,75,27,1.9,scattered clouds
87,Spencer,US,43.1414,-95.1444,85.14,28,20,16.11,few clouds
88,Port Elizabeth,ZA,-33.918,25.5701,44.89,87,0,1.14,clear sky
89,Kralendijk,BQ,12.15,-68.2667,80.58,78,75,13.8,broken clouds
90,Bambous Virieux,MU,-20.3428,57.7575,73.65,78,75,16.51,broken clouds
91,Ambelokipoi,GR,37.7667,20.8667,68.74,73,0,4.94,clear sky
92,Orsha,BY,54.5153,30.4053,48.16,83,9,5.91,clear sky
93,Vaini,TO,-21.2,-175.2,77.16,78,40,0.0,scattered clouds
94,Tazovskiy,RU,67.4667,78.7,37.49,67,89,13.29,overcast clouds
95,Tuktoyaktuk,CA,69.4541,-133.0374,41.0,81,90,14.97,overcast clouds
96,Clyde River,CA,70.4692,-68.5914,28.63,93,90,13.8,light snow
97,Barrow,US,71.2906,-156.7887,33.82,80,90,18.41,light snow
98,High Level,CA,58.5169,-117.136,75.31,29,20,9.89,few clouds
99,Birjand,IR,32.8663,59.2211,68.47,18,0,6.91,clear sky
100,Kaitangata,NZ,-46.2817,169.8464,54.86,67,44,2.73,scattered clouds
101,Nantucket,US,41.2835,-70.0995,64.08,97,100,22.48,overcast clouds
102,Faya,SA,18.3851,42.4509,66.72,14,53,6.08,broken clouds
103,Constitucion,CL,-35.3333,-72.4167,56.64,91,100,7.07,overcast clouds
104,Rikitea,PF,-23.1203,-134.9692,72.84,65,47,13.49,scattered clouds
105,Seoul,KR,37.5683,126.9778,70.21,68,20,10.33,few clouds
106,Kodiak,US,57.79,-152.4072,51.31,71,90,13.8,overcast clouds
107,Shellbrook,CA,53.2168,-106.4011,88.83,57,8,7.78,clear sky
108,Tyret Pervaya,RU,53.6703,102.3106,71.51,45,8,7.67,clear sky
109,Baherden,TM,38.4362,57.4316,80.92,51,0,2.62,clear sky
110,Siteki,SZ,-26.45,31.95,48.97,80,100,8.68,light rain
111,Te Anau,NZ,-45.4167,167.7167,49.41,92,100,4.12,overcast clouds
112,Ilyich,KZ,40.8464,68.5067,81.68,26,0,0.69,clear sky
113,Mahebourg,MU,-20.4081,57.7,73.69,78,75,10.36,broken clouds
114,Khandwa,IN,21.8333,76.3333,84.11,57,99,11.7,overcast clouds
115,Turukhansk,RU,65.8167,87.9833,40.8,58,77,11.7,broken clouds
116,Nouakchott,MR,18.0858,-15.9785,80.53,57,8,19.77,clear sky
117,Maputo,MZ,-25.9653,32.5892,62.28,69,75,17.0,broken clouds
